[2024-05-29 11:28:13] [ always  ] About to import Package #9 'PING_Advanced_Ping.xml.gz'.
[2024-05-29 11:28:15] [ always  ] Import of Package #9 'PING_Advanced_Ping.xml.gz' under Profile '3' succeeded
[2024-05-29 11:28:15] [ always  ] About to import Package #10 'SNMP_Printer.xml.gz'.
[2024-05-29 11:28:21] [ always  ] Import of Package #10 'SNMP_Printer.xml.gz' under Profile '3' succeeded
[2024-05-29 11:28:21] [ always  ] About to import Package #11 'SNMP_UPS.xml.gz'.
[2024-05-29 11:28:25] [ always  ] Import of Package #11 'SNMP_UPS.xml.gz' under Profile '3' succeeded
[2024-05-29 11:28:25] [ always  ] About to import Package #12 'Synology_NAS.xml.gz'.
[2024-05-29 11:28:40] [ always  ] Import of Package #12 'Synology_NAS.xml.gz' under Profile '3' succeeded
[2024-05-29 11:28:40] [ always  ] About to import Package #13 'Windows_Device.xml.gz'.
[2024-05-29 11:28:48] [ always  ] Import of Package #13 'Windows_Device.xml.gz' under Profile '3' succeeded
[2024-05-29 11:28:48] [ always  ] Repairing Automation Rules
[2024-05-29 11:28:48] [ always  ] Mapping Automation Template for Device Template 'Net-SNMP Device'
[2024-05-29 11:28:48] [ always  ] Mapping Automation Template for Device Template 'Windows Device'
[2024-05-29 11:28:48] [ always  ] Mapping Automation Template for Device Template 'Cisco Router'
[2024-05-29 11:28:48] [ always  ] Updating automation network (1), mode "on" => "on", subnet "192.168.1.0/24" => 192.168.1.0/24"
[2024-05-29 11:28:48] [ always  ] Adding extra snmp settings for automation
[2024-05-29 11:28:48] [ always  ] Selecting Automation Option Set 1
[2024-05-29 11:28:48] [ always  ] Updating Automation Option Set 1
[2024-05-29 11:28:48] [ always  ] Successfully updated Automation Option Set 1
[2024-05-29 11:28:48] [ always  ] Resequencing Automation Option Set 1
[2024-05-29 11:28:48] [ always  ] Device Template for First Cacti Device is 12
[2024-05-29 11:29:02] [ always  ] Creating Graphs for Default Device
[2024-05-29 11:29:02] [ always  ] Adding Device to Default Tree
[2024-05-29 11:29:02] [ always  ] Repopulating poller cache
[2024-05-29 11:29:02] [ always  ] Repopulating SNMP Agent cache
[2024-05-29 11:29:03] [ always  ] Generating RSA Key Pair
[2024-05-29 11:29:03] [ always  ] Finished INSTALL Process for v1.2.27
[2024-05-29 11:29:03] [ always  ] Installation was started at 2024-05-29 04:27:09, completed at 2024-05-29 04:29:03
